Ring,Date,Treatment,AP,AST,GGT,BuChE,GLDH,BA,LDH,CK,ALB,TP,Brood_ID,Lprev,Wing,Weight,Tarsus,Age,BCI
3419039,31/05/2019,Pre-Mal,385,730,5,2.55,3,46.75,2665,2735,9.3,33,425-2019,3,16,610,77.4,22,-60.97952238
3419040,31/05/2019,Pre-Mal,310,317,7,2.05,2,27.6,1140,2170,8.8,33,425-2019,3,18.7,750,84.7,26,29.96906315
3418760,19/05/2019,Pre-Mal,450,180,7,1.85,2,25.45,685,2205,9,34,128-2019,0,16.4,670,77,23,75.14416615
3418761,19/05/2019,Pre-Mal,475,178,5,1.5,2,32.5,545,1220,8.3,28,128-2019,0,16.9,770,77.8,23,81.80601549
3418762,19/05/2019,Pre-Mal,395,153,5,1.7,2,18.65,700,1560,10.2,32,128-2019,0,14.4,605,71.2,20,44.13763491
3418817,24/05/2019,Pre-Mal,471,314,5,1.43,2,22.7,779,1410,13.9,35,333-2019,3,21,990,90.1,29,233.4800258
3418818,24/05/2019,Pre-Mal,390,186,7,1.38,2,25.35,520,1537,11.5,35,333-2019,0,20.8,840,87.5,28,86.49022688
3418819,24/05/2019,Pre-Mal,305,182,6,1.29,2,19.1,469,1519,13.5,36,333-2019,0,17.6,790,82.5,24,89.03936318
3418835,25/05/2019,Pre-Mal,390,398,6,1.7,2,27.7,1005,2330,10,35,199-2019,0,14.5,675,74.4,20,34.9861425
3418931,31/05/2019,Pre-Mal,255,295,6,2.1,2,35.7,1530,2740,8.6,32,425-2019,4,16.6,590,79.6,23,-92.55985875
3419063,01/06/2019,Pre-Mal,405,310,7,1.39,2,9.5,757,2443,12.2,35,268-2019,0,18.4,690,82.6,25,65.06718361
3419039,07/06/2019,Post-Mal,370,232,9,1.8,2,17.45,815,4285,10.3,37,425-2019,1,22.3,825,84.1,30,149.8202651
3419040,07/06/2019,Post-Mal,360,238,9,1.7,2,15.1,770,1975,9.2,33,425-2019,0,23.6,840,88.1,32,46.76281644
3418760,26/05/2019,Post-Mal,460,219,8,2.01,2,21,460,1719,9.8,29,128-2019,0,22,665,81.5,30,-6.639526339
3418761,26/05/2019,Post-Mal,635,200,9,1.6,2,10.55,520,1505,9.1,31,128-2019,0,23.5,845,82.3,32,53.09854504
3418762,26/05/2019,Post-Mal,460,163,10,1.9,2,15.3,400,1595,8.8,33,128-2019,0,20.5,630,78.9,28,-23.18140774
3418817,30/05/2019,Post-Mal,442,255,8,1.47,2,28.9,361,1371,12.5,32,333-2019,2,25.2,960,89,34,146.1282983
3418818,30/05/2019,Post-Mal,470,203,14,1.7,2,13.65,375,1635,9.2,34,333-2019,0,24.8,775,85,34,72.04666831
3418819,30/05/2019,Post-Mal,332,216,9,1.24,2,15,495,2430,12.3,34,333-2019,0,23.1,790,87.4,32,105.6076322
3418835,01/06/2019,Post-Mal,440,344,5,1.4,2,33.65,790,2980,9.9,38,199-2019,1,20.1,745,81.7,28,2.258737005
3418931,07/06/2019,Post-Mal,420,223,9,1.9,2,16.75,980,3620,10.4,38,425-2019,0,22.1,705,85.9,30,32.17506845
3419063,08/06/2019,Post-Mal,405,317,5,1.7,2,31.2,910,3295,10.2,38,268-2019,0,24.3,810,84.9,33,7.56823583
3418765,19/05/2019,Post-Control,445,157,8,1.7,2,21.85,615,2590,9.4,33,191-2019,0,21.5,880,84.8,29,214.3695061
3418766,19/05/2019,Post-Control,390,171,9,1.55,2,22.05,590,1840,9.6,32,191-2019,0,23.2,800,85.1,32,114.4785532
3418782,22/05/2019,Post-Control,485,165,7,1.8,2,16.9,505,1510,8.3,31,377-2019,0,20.7,900,85.9,28,148.006199
3418820,24/05/2019,Post-Control,580,301,13,2.1,2,15.7,825,2840,10.4,38,275-2019,3,23.7,750,83.9,32,58.90517782
3418821,24/05/2019,Post-Control,520,331,9,1.75,2,22.5,1375,3210,8.5,37,275-2019,3,23.2,735,85.9,32,49.47855316
3418822,24/05/2019,Post-Control,315,284,<5,1.9,2,31.7,1420,3775,11,36,275-2019,3,20.9,685,78.5,29,26.76758677
3418832,25/05/2019,Post-Control,500,257,10,2.15,2,36.25,750,2205,7.6,32,328-2019,3,22.1,780,85.4,30,107.1750685
3418918,30/05/2019,Post-Control,410,171,9,1.45,2,24,285,1830,9,40,355-2019,0,24,660,83.4,33,-34.38268189
3418927,30/05/2019,Post-Control,405,187,8,1.8,2,19.4,665,3370,9.3,34,319-2019,0,27.1,870,86.5,37,33.26275322
3418928,30/05/2019,Post-Control,455,206,11,1.75,2,19.1,615,2835,8,30,319-2019,0,28.7,750,88.1,39,8.871007918
3418836,01/06/2019,Post-Control,390,401,12,2.45,2,30.2,910,2675,9.2,39,426-2019,2,20.1,765,85.8,28,22.258737
3419205,09/06/2019,Pre-Control,615,289,<5,2.05,2,15,1000,2100,9.9,34,285-2019,4,18.7,850,88.9,26,129.9690632
3418748,19/05/2019,Pre-Control,285,323,5,2.05,2,14.75,1975,2310,8.9,30,369-2019,0,12.8,630,75.6,18,99.92392969
3418768,19/05/2019,Pre-Control,350,139,<5,1.5,2,4.55,560,1545,10.2,33,445-2019,0,20,780,82.9,27,133.2727819
3418775,21/05/2019,Pre-Control,480,515,6,2.1,2,17.1,2025,1900,10.1,37,416-2019,4,17.4,635,80.9,24,24.67329607
3418749,19/05/2019,Pre-Control,175,436,9,2.35,2,36.1,1190,2395,8.2,29,369-2019,3,11.7,560,69.6,16,-12.52114938
3418750,19/05/2019,Pre-Control,240,169,6,2.3,2,20.35,625,2320,7.2,26,369-2019,0,11.9,560,69.7,17,-17.85286367
3418791,22/05/2019,Pre-Control,275,341,9,2,2,64.75,1250,2105,8.3,31,289-2019,3,18.6,820,85.3,26,101.6557354
3418792,22/05/2019,Pre-Control,300,214,15,1.94,2,63.5,610,1390,12.2,34,289-2019,3,18.1,870,84.6,25,160.2274813
3418781,22/05/2019,Pre-Control,375,156,9,2.25,2,27.55,645,1945,8.9,31,65-2019,0,13.7,590,74.9,19,-32.16148651
3418780,22/05/2019,Pre-Control,340,297,5,2.25,2,22.45,775,3210,7.9,31,65-2019,3,16.8,790,80.4,23,103.6728673
3418784,22/05/2019,Pre-Control,410,247,<5,2.2,2,28.4,805,2640,9.2,33,377-2019,2,17,850,81.6,23,159.9501776
