Ring;Year;Sex;Treatment;Nest;Date.1;Date.2;days_resample;Age.1;Age.2;avg_age;Weight.1;Weight.2;Wing.1;Wing.2;growth_rate;body_condition.1;body_condition.2;delta_body_condition;Lprev.1;Lprev.2;Lbinom.1;Lbinom.2
3121001;2020;Female;Malarone;1374;17/05/2020;23/05/2020;6;18.5674781;24.57990115;21.57368963;620;890;12.5;18.6;45;26.67367543;171.6557354;144.9820599;1;1;1;1
3121002;2020;Male;Water;1374;17/05/2020;23/05/2020;6;20.10080641;25.32421604;22.71251122;560;770;13.2;18.5;35;21.88079047;143.6504788;121.7696883;1;4;1;1
3121003;2020;Male;Malarone;1914;17/05/2020;23/05/2020;6;17.99716991;23.67104753;20.83410872;500;650;11.1;16.9;25;7.170795589;47.2942849;40.12348931;0;1;0;1
3121004;2020;Female;Water;1914;17/05/2020;23/05/2020;6;20.1112178;25.45827068;22.78474424;640;780;14.1;19.4;23.33333333;8.785698449;48.40899441;39.62329596;2;1;1;0
3121005;2020;Female;Control;1914;17/05/2020;23/05/2020;6;19.53774373;25.01461042;22.27617708;600;820;13.5;19;36.66666667;-17.53546766;94.96264004;112.4981077;0;1;0;1
3121006;2020;Female;Malarone;1156;22/05/2020;29/05/2020;7;15.11913839;22.62008692;18.86961266;470;670;9.3;16.7;28.57142857;-30.30538375;-14.44913537;15.85624838;0;0;0;0
3121007;2020;Female;Water;1156;22/05/2020;29/05/2020;7;13.71458634;21.16060379;17.43759507;355;620;8.2;15.2;37.85714286;-105.7080389;-34.84451842;70.86352048;0;3;0;1
3121008;2020;Female;Control;2165B;22/05/2020;29/05/2020;7;15.47757183;22.32358989;18.90058086;490;695;9.6;16.4;29.28571429;-20.29236898;16.2530802;36.54544918;0;2;0;1
3121009;2020;Female;Control;2165B;22/05/2020;29/05/2020;7;14.6256982;21.35246986;17.98908403;460;710;8.9;15.4;35.71428571;-26.47618484;51.04348038;77.51966523;0;0;0;0
3121010;2020;Female;Control;2165B;22/05/2020;29/05/2020;7;12.13982505;19.72932981;15.93457743;375;580;7.1;13.7;29.28571429;-40.39849431;-42.16148651;-1.7629922;0;0;0;0
3121011;2020;Male;Malarone;2364C;22/05/2020;29/05/2020;7;19.12214918;25.75676563;22.43945741;500;665;12.2;18.9;23.57142857;-17.52735337;33.0592196;50.58657297;0;0;0;0
3121012;2020;Female;Water;2364C;22/05/2020;29/05/2020;7;15.23968106;21.6414955;18.44058828;460;595;9.4;15.7;19.28571429;-43.66973253;-70.02545922;-26.35572669;0;0;0;0
3121013;2020;Male;Control;2364C;22/05/2020;29/05/2020;7;12.52730259;18.1022541;15.31477835;260;300;6.8;11.2;5.714285714;-104.7464382;-195.1734479;-90.42700969;0;2;0;1
3121014;2020;Female;Malarone;2.26E+04;23/05/2020;30/05/2020;7;17.86867029;24.47256351;21.1706169;550;830;11.8;18.5;40;-25.19830266;113.3515002;138.5498028;2;0;1;0
3121015;2020;Male;Control;2.26E+04;23/05/2020;30/05/2020;7;18.51651909;24.0740352;21.29527715;530;800;11.6;17.3;38.57142857;25.65433376;191.1798213;165.5254875;0;0;0;0
3121018;2020;Male;Water;1427;24/05/2020;31/05/2020;7;27.57973541;35.63290422;31.60631981;800;850;20.5;26.3;7.142857143;146.8185923;131.6969708;-15.12162144;1;0;1;0
3121019;2020;Male;Malarone;1427;24/05/2020;31/05/2020;7;29.18221909;36.11018232;32.6462007;820;870;21.8;26.6;7.142857143;150.747535;148.7323107;-2.015224322;2;0;1;0
3121027;2020;Male;Water;2347C;29/05/2020;04/06/2020;6;19.22152605;23.37259065;21.29705835;480;395;12.3;16.6;-14.16666667;-39.66109094;-203.024132;-163.3630411;4;4;1;1
3121028;2020;Female;Malarone;2347C;29/05/2020;04/06/2020;6;19.72932981;25.12466743;22.42699862;580;710;13.7;19.1;21.66666667;-42.16148651;-16.68861631;25.4728702;4;3;1;1
3121040;2020;Male;Water;1817;05/06/2020;13/06/2020;8;21.91652432;29.18221909;25.5493717;565;790;15.1;21.8;28.125;-8.269235053;120.747535;129.0167701;3;3;1;1
3121041;2020;Female;Malarone;1817;05/06/2020;13/06/2020;8;22.62008692;31.88889109;27.25448901;725;900;16.7;24.4;21.875;40.55086463;96.27639166;55.72552704;3;2;1;1
3121042;2020;Female;Control;1817;05/06/2020;13/06/2020;8;23.12106062;31.88889109;27.50497585;710;870;17.2;24.4;20;16.27102907;66.27639166;50.00536259;0;2;0;1
3121045;2020;Female;Water;681;06/06/2020;13/06/2020;7;22.52093812;29.77788503;26.14941157;700;880;16.6;22.9;25.71428571;17.44014125;96.23426435;78.7941231;4;0;1;0
3121051;2020;Male;Water;342;23/05/2020;29/05/2020;6;20.29337956;26.19814287;23.24576121;555;750;13.4;19.3;32.5;12.95016902;112.5850635;99.63489447;0;1;0;1
3121052;2020;Female;Control;342;23/05/2020;29/05/2020;6;18.86131872;25.23529163;22.04830518;540;810;12.8;19.2;45;-60.78668085;81.66875013;142.455431;0;0;0;0
3121053;2020;Female;Malarone;342;23/05/2020;29/05/2020;6;20.39706306;26.72808288;23.56257297;595;830;14.4;20.5;39.16666667;-42.836938;81.06023867;123.8971767;0;0;0;0
3121054;2020;Female;Malarone;585;23/05/2020;29/05/2020;6;23.22238267;29.50838869;26.36538568;705;870;17.3;22.7;27.5;9.447466794;88.99361198;79.54614519;3;0;1;0
3121055;2020;Female;Water;585;23/05/2020;29/05/2020;6;21.16060379;26.49154533;23.82607456;600;800;15.2;20.3;33.33333333;-54.84451842;54.14422035;108.9887388;0;1;0;1
3121056;2020;Male;Control;585;23/05/2020;29/05/2020;6;19.90738809;24.27789613;22.09264211;430;520;13;17.5;15;-104.1285763;-91.82459571;12.30398058;2;1;1;1
3121057;2020;Male;Water;778E;23/05/2020;29/05/2020;6;21.53458059;27.1092284;24.3219045;690;770;14.7;20.1;13.33333333;123.7481368;121.9691313;-1.779005424;0;2;0;1
3121058;2020;Female;Malarone;778E;23/05/2020;29/05/2020;6;17.35505589;23.12106062;20.23805825;510;840;11.3;17.2;55;-51.57870305;146.2710291;197.8497321;2;2;1;1
3121061;2020;Male;Malarone;2239A;23/05/2020;30/05/2020;7;19.02236155;25.21739757;22.11987956;450;680;12.1;18.4;32.85714286;-65.37605398;55.06718361;120.4432376;0;1;0;1
3121062;2020;Female;Water;2239A;23/05/2020;30/05/2020;7;15.71137764;22.02975194;18.87056479;510;770;9.8;16.1;37.14285714;-6.778446438;97.06057338;103.8390198;2;0;1;0
3121063;2020;Male;Malarone;1541;23/05/2020;30/05/2020;7;18.1022541;24.48345077;21.29285243;560;735;11.2;17.7;25;64.82655207;120.2051291;55.37857707;1;1;1;1
3121064;2020;Female;Water;1541;23/05/2020;30/05/2020;7;15.71137764;22.91957811;19.31547788;505;780;9.8;17;39.28571429;-11.77844644;89.95017759;101.728624;0;0;0;0
3121066;2020;Female;Water;2235B;23/05/2020;30/05/2020;7;20.30180134;27.33091006;23.8163557;705;830;14.3;21;17.85714286;69.3551518;73.4800258;4.124874003;0;1;0;1
3121067;2020;Male;Control;2235B;23/05/2020;30/05/2020;7;23.87178204;31.17701834;27.52440019;700;760;17.1;23.3;8.571428571;94.21917413;73.35433035;-20.86484378;0;1;0;1
3121068;2020;Female;Malarone;2235B;23/05/2020;30/05/2020;7;23.02012951;29.64278312;26.33145632;765;880;17.1;22.8;16.42857143;73.10522443;97.61091256;24.50568813;0;1;0;1
3121069;2020;Male;Control;1168;23/05/2020;27/05/2020;4;21.62994996;22.97907634;22.30451315;660;590;14.8;16.2;-17.5;91.97605268;-1.648659868;-93.62471254;0;2;0;1
3121070;2020;Male;Control;1168;23/05/2020;27/05/2020;4;20.7720929;24.38045648;22.57627469;555;695;13.9;17.6;35;3.374687997;81.68604755;78.31135955;1;2;1;1
3121071;2020;Male;Control;1168;23/05/2020;27/05/2020;4;16.79295766;21.43926252;19.11611009;360;620;10;14.6;65;-105.5514375;55.53231706;161.0837545;0;1;0;1
3121072;2020;Female;Malarone;2331C;24/05/2020;30/05/2020;6;14.37183764;20.58760999;17.47972382;505;710;8.7;14.6;34.16666667;25.67329591;67.82418477;42.15088886;0;0;0;0
3121073;2020;Male;Water;2331C;24/05/2020;30/05/2020;6;14.43068851;20.7720929;17.6013907;425;630;8.1;13.9;34.16666667;14.52712074;78.374688;63.84756726;0;0;0;0
3121074;2020;Male;Control;2331C;24/05/2020;30/05/2020;6;11.37880341;17.67790726;14.52835534;340;490;6.1;10.8;25;3.648427236;4.332377827;0.68395059;0;0;0;0
3121075;2020;Male;Water;1611;24/05/2020;30/05/2020;6;15.84914811;22.01225633;18.93070222;450;600;9.2;15.2;25;6.242964217;25.00546891;18.76250469;0;1;0;1
3121076;2020;Male;Malarone;1611;24/05/2020;30/05/2020;6;17.46148946;22.58987466;20.02568206;615;740;10.6;15.8;20.83333333;134.2181537;154.8862155;20.66806178;1;2;1;1
3121077;2020;Male;Water;2.26E+04;24/05/2020;29/05/2020;5;18.41381842;23.57122108;20.99251975;545;670;11.5;16.8;25;42.91739033;68.84551438;25.92812405;0;0;0;0
3121078;2020;Male;Malarone;2.26E+04;24/05/2020;29/05/2020;5;16.4466249;22.10811737;19.27737113;485;625;9.7;15.3;28;27.41003282;48.29148638;20.88145355;0;0;0;0
3121079;2020;Male;Malarone;2.26E+04;24/05/2020;30/05/2020;6;20.7720929;25.75676563;23.26442927;625;820;13.9;18.9;32.5;73.374688;188.0592196;114.6845316;0;1;0;1
3121080;2020;Female;Water;2.26E+04;24/05/2020;30/05/2020;6;18.36987352;22.52093812;20.44540582;650;850;12.3;16.6;33.33333333;61.74739208;167.4401413;105.6927492;1;1;1;1
3121081;2020;Male;Control;1230E;24/05/2020;30/05/2020;6;14.43068851;20.10080641;17.26574746;390;620;8.1;13.2;38.33333333;-20.47287926;81.88079047;102.3536697;NA;0;NA;0
3121082;2020;Male;Control;1230E;24/05/2020;30/05/2020;6;12.52730259;19.71297125;16.12013692;325;560;6.8;12.8;39.16666667;-39.74643824;29.92392969;69.67036793;0;1;0;1
3121083;2020;Female;Control;1230E;24/05/2020;30/05/2020;6;8.514726834;13.02220701;10.76846692;200;340;5;7.7;23.33333333;-105.0946021;-100.9176387;4.176963411;0;0;0;0
3121088;2020;Female;Water;1103E;24/05/2020;30/05/2020;6;11.19503393;18.0704896;14.63276177;355;580;6.5;12;37.5;-32.62485287;-0.485210513;32.13964236;0;0;0;0
3121089;2020;Female;Malarone;1103E;24/05/2020;30/05/2020;6;13.1636669;19.15255987;16.15811339;435;690;7.8;13.1;42.5;-9.976580358;81.9258053;91.90238566;0;0;0;0
3121091;2020;Female;Malarone;2259A;29/05/2020;06/06/2020;8;24.36574504;30.7433887;27.55456687;790;920;18.4;23.6;16.25;75.05645618;126.7628164;51.70636027;3;1;1;1
3121092;2020;Male;Malarone;2259A;29/05/2020;06/06/2020;8;25.64782028;33.77882856;29.71332442;690;730;18.8;25.1;5;59.44586158;23.90376791;-35.54209366;2;2;1;1
3121093;2020;Female;Water;2259A;29/05/2020;06/06/2020;8;23.02012951;29.77788503;26.39900727;665;750;17.1;22.9;10.625;-26.89477557;-33.76573565;-6.870960074;4;3;1;1
3121094;2020;Male;Control;2259A;29/05/2020;06/06/2020;8;19.32051298;25.75676563;22.53863931;435;510;12.4;18.9;9.375;-86.77755109;-121.9407804;-35.16322932;4;4;1;1
3121096;2020;Female;Malarone;2265E;29/05/2020;06/06/2020;8;21.25646484;28.84701244;25.05173864;725;770;15.3;22.2;5.625;68.09276198;-4.00022731;-72.09298929;3;1;1;1
3121097;2020;Female;Water;2265E;29/05/2020;06/06/2020;8;21.35246986;29.24172098;25.29709542;705;810;15.4;22.5;13.125;46.04348038;31.77737893;-14.26610145;4;3;1;1
3121098;2020;Male;Control;2265E;29/05/2020;06/06/2020;8;18.61867989;25.75676563;22.18772276;510;630;11.7;18.9;15;3.410702818;-1.940780405;-5.351483223;0;1;0;1
3121101;2020;Female;Malarone;1102E;29/05/2020;06/06/2020;8;22.42210991;30.46400219;26.44305605;860;980;16.5;23.4;15;179.3408335;189.4399697;10.09913621;4;2;1;1
3121102;2020;Female;Water;1102E;29/05/2020;06/06/2020;8;21.44863364;29.24172098;25.34517731;795;940;15.5;22.5;18.125;134.0074628;161.7773789;27.76991609;1;3;1;1
