Nest;Date;Year;Ring.no;Lprev;Lbinom;Weight;Wing;sampling_rank;Treatments;growth_rate;days_resample;sex;body_condition;delta_body_condition;Age_in_days;avg_age
1374;17/05/2020;2020;3121001;1;1;620;12.5;1;Malarone;NA;NA;Female;26.6736754344179;NA;18.5674780994807;NA
1374;23/05/2020;2020;3121001;1;1;890;18.6;2;Malarone;0.0602503307811747;6;Female;171.655735355154;144.982059920736;24.5799011545379;21.5736896270093
1374;17/05/2020;2020;3121002;1;1;560;13.2;1;Water;NA;NA;Male;21.8807904652087;NA;20.1008064077102;NA
1374;23/05/2020;2020;3121002;4;1;770;18.5;2;Water;0.0530756218530891;6;Male;143.650478784713;121.769688319505;25.3242160396891;22.7125112236996
1914;17/05/2020;2020;3121003;0;0;500;11.1;1;Malarone;NA;NA;Male;7.17079558902338;NA;17.9971699149479;NA
1914;23/05/2020;2020;3121003;1;1;650;16.9;2;Malarone;0.0437273774112485;6;Male;47.2942848962573;40.1234893072339;23.6710475320114;20.8341087234797
1914;17/05/2020;2020;3121004;2;1;640;14.1;1;Water;NA;NA;Female;8.78569844891604;NA;20.1112177991204;NA
1914;23/05/2020;2020;3121004;1;0;780;19.4;2;Water;0.0329709572216533;6;Female;48.4089944088832;39.6232959599672;25.4582706811284;22.7847442401244
1914;17/05/2020;2020;3121005;0;0;600;13.5;1;Control;NA;NA;Female;-17.5354676629893;NA;19.5377437332906;NA
1914;23/05/2020;2020;3121005;1;1;820;19;2;Control;0.0520624475070254;6;Female;94.9626400416466;112.498107704636;25.0146104241791;22.2761770787348
1156;22/05/2020;2020;3121006;0;0;470;9.3;1;Malarone;NA;NA;Female;-30.3053837510849;NA;15.1191383936455;NA
1156;29/05/2020;2020;3121006;0;0;670;16.7;2;Malarone;0.0506492882401296;7;Female;-14.4491353720148;15.8562483790701;22.6200869235876;18.8696126586165
1156;22/05/2020;2020;3121007;0;0;355;8.2;1;Water;NA;NA;Female;-105.708038901327;NA;13.7145863383443;NA
1156;29/05/2020;2020;3121007;3;1;620;15.2;2;Water;0.0796573840805316;7;Female;-34.8445184208524;70.8635204804744;21.1606037948556;17.4375950666
2165B;22/05/2020;2020;3121008;0;0;490;9.6;1;Control;NA;NA;Female;-20.2923689751357;NA;15.4775718284258;NA
2165B;29/05/2020;2020;3121008;2;1;695;16.4;2;Control;0.0499294934943028;7;Female;16.2530802049123;36.545449180048;22.3235898926707;18.9005808605483
2165B;22/05/2020;2020;3121009;0;0;460;8.9;1;Control;NA;NA;Female;-26.4761848447417;NA;14.6256981967773;NA
2165B;29/05/2020;2020;3121009;0;0;710;15.4;2;Control;0.0620054972217458;7;Female;51.0434803825258;77.5196652272675;21.3524698632188;17.989084029998
2165B;22/05/2020;2020;3121010;0;0;375;7.1;1;Control;NA;NA;Female;-40.3984943069441;NA;12.139825048259;NA
2165B;29/05/2020;2020;3121010;0;0;580;13.7;2;Control;0.062300296795722;7;Female;-42.1614865072377;-1.76299220029358;19.7293298063472;15.9345774273031
2364C;22/05/2020;2020;3121011;0;0;500;12.2;1;Malarone;NA;NA;Male;-17.5273533715847;NA;19.1221491820423;NA
2364C;29/05/2020;2020;3121011;0;0;665;18.9;2;Malarone;0.0407398488905232;7;Male;33.0592195951881;50.5865729667728;25.7567656319634;22.4394574070028
2364C;22/05/2020;2020;3121012;0;0;460;9.4;1;Water;NA;NA;Female;-43.669732529027;NA;15.2396810624017;NA
2364C;29/05/2020;2020;3121012;0;0;595;15.7;2;Water;0.0367621308660699;7;Female;-70.0254592232523;-26.3557266942252;21.6414955011193;18.4405882817605
2364C;22/05/2020;2020;3121013;0;0;260;6.8;1;Control;NA;NA;Male;-104.746438235331;NA;12.5273025895843;NA
2364C;29/05/2020;2020;3121013;2;1;300;11.2;2;Control;0.0204429776629533;7;Male;-195.173447929113;-90.4270096937822;18.1022541036704;15.3147783466274
2.26E+04;23/05/2020;2020;3121014;2;1;550;11.8;1;Malarone;NA;NA;Female;-25.1983026645917;NA;17.8686702916566;NA
2.26E+04;30/05/2020;2020;3121014;0;0;830;18.5;2;Malarone;0.0587867746520181;7;Female;113.351500174491;138.549802839083;24.4725635095102;21.1706169005834
2.26E+04;23/05/2020;2020;3121015;0;0;530;11.6;1;Control;NA;NA;Male;25.6543337633171;NA;18.5165190929656;NA
2.26E+04;30/05/2020;2020;3121015;0;0;800;17.3;2;Control;0.0588192458745371;7;Male;191.179821278022;165.525487514704;24.0740352048888;21.2952771489272
1427;24/05/2020;2020;3121018;1;1;800;20.5;1;Water;NA;NA;Male;146.818592258873;NA;27.5797354070733;NA
1427;31/05/2020;2020;3121018;0;0;850;26.3;2;Water;0.00866066025949069;7;Male;131.696970820862;-15.1216214380108;35.6329042216818;31.6063198143775
1427;24/05/2020;2020;3121019;2;1;820;21.8;1;Malarone;NA;NA;Male;150.747535002084;NA;29.1822190927849;NA
1427;31/05/2020;2020;3121019;0;0;870;26.6;2;Malarone;0.00845555305576152;7;Male;148.73231068053;-2.01522432155389;36.1101823152252;32.6462007040051
2347C;29/05/2020;2020;3121027;4;1;480;12.3;1;Water;NA;NA;Male;-39.6610909368173;NA;19.2215260477066;NA
2347C;04/06/2020;2020;3121027;4;1;395;16.6;2;Water;-0.0324833898334691;6;Male;-203.024132038682;-163.363041101865;23.3725906463502;21.2970583470284
2347C;29/05/2020;2020;3121028;4;1;580;13.7;1;Malarone;NA;NA;Female;-42.1614865072377;NA;19.7293298063472;NA
2347C;04/06/2020;2020;3121028;3;1;710;19.1;2;Malarone;0.033706144415816;6;Female;-16.6886163075508;25.4728701996869;25.1246674281399;22.4269986172435
1817;05/06/2020;2020;3121040;3;1;565;15.1;1;Water;NA;NA;Male;-8.26923505348896;NA;21.9165243150605;NA
1817;13/06/2020;2020;3121040;3;1;790;21.8;2;Water;0.0419009017893283;8;Male;120.747535002084;129.016770055573;29.1822190927849;25.5493717039227
