"Nest","ID_sample","Date","Ind_Year","Year","Ring_no","Infection_intensity","Prevalence","Weight_g","Wing_cm","Tarsus_mm","Breathing_rate","Sampling_rank","Sex","body_temperature","Ambient_Temperature_AvgC","Treatment","Growth_rate","days_resample","body_condition","Age_in_days","Infection_diff","Diff_Inf_Class","Treatment_pwater","body_condition_T0","weight_T0"
4,"009_2020_29","29/05/2020","009_2020",2020,3121009,0,0,710,NA,NA,28,2,0,40,NA,"Control",0.062005497,7,51.04348038,21.35246986,-100,"Uninfected","Control","24.90833459",460
4,"010_2020_29","29/05/2020","010_2020",2020,3121010,0,0,580,NA,NA,29,2,0,NA,NA,"Control",0.062300297,7,-42.16148651,19.72932981,-100,"Uninfected","Control","-40.39849431",375
6,"015_2020_30","30/05/2020","015_2020",2020,3121015,0,0,800,NA,NA,30,2,0,NA,NA,"Control",0.058819246,7,104.4474668,23.22238267,-100,"Uninfected","Control","25.65433376",530
13,"052_2020_29","29/05/2020","052_2020",2020,3121052,0,0,810,NA,NA,54,2,0,NA,NA,"Control",0.067577518,6,81.66875013,25.23529163,-100,"Uninfected","Control","-60.78668085",540
20,"074_2020_30","30/05/2020","074_2020",2020,3121074,0,0,490,NA,NA,37,2,0,NA,NA,"Control",0.060909962,6,-57.34262613,16.82625473,-100,"Uninfected","Control","3.648427236",340
24,"083_2020_30","30/05/2020","083_2020",2020,3121083,0,0,340,NA,NA,39,2,0,NA,NA,"Control",0.088438042,6,-100.9176387,13.02220701,-100,"Uninfected","Control","-84.37565687",200
47,"580_2016_07","07/06/2016","580_2016",2016,3414580,0,0,510,18,NA,23,2,1,NA,NA,"Control",0.024387635,11,-109.187939,24.79513877,-100,"Uninfected","Control","-67.58996718",390
48,"614_2016_07","07/06/2016","614_2016",2016,3414614,0,0,650,NA,NA,33,2,1,NA,NA,"Control",NA,10,5.899752771,26.76299649,-100,"Uninfected","Control",NA,NA
50,"636_2016_28","28/06/2016","636_2016",2016,3414636,0,0,780,NA,NA,28,2,1,NA,NA,"Control",0.031487045,25,34.35653645,40.43762616,-100,"Uninfected","Control","-24.68658448",355
56,"680_2016_23","23/06/2016","680_2016",2016,3414680,0,0,635,NA,NA,28,2,1,NA,NA,"Control",0.038332482,20,-60.46950841,32.30577233,-100,"Uninfected","Control","-77.32324121",295
56,"681_2016_23","23/06/2016","681_2016",2016,3414681,0,0,745,NA,NA,39,2,1,NA,NA,"Control",0.030474858,20,40.99483027,33.4788185,-100,"Uninfected","Control","4.391740513",405
57,"707_2016_22","22/06/2016","707_2016",2016,3414707,0,0,870,NA,NA,44,2,0,NA,NA,"Control",0.017056946,18,49.94806785,33.84288499,-100,"Uninfected","Control","75.64979345",640
72,"993_2018_02","02/06/2018","993_2018",2018,3417993,0,0,635,NA,NA,24,2,0,NA,NA,"Control",0.064248276,7,-23.95651962,21.35246986,-100,"Uninfected","Control","-51.84831425",405
74,"995_2018_02","02/06/2018","995_2018",2018,3417995,0,0,620,15,78,46,2,0,NA,NA,"Control",0.052912516,14,-30.67805205,20.96925365,-100,"Uninfected","Control","17.57255594",410
74,"996_2018_02","02/06/2018","996_2018",2018,3417996,0,0,510,NA,NA,44,2,0,NA,NA,"Control",0.075874617,14,-65.19830266,17.86867029,-100,"Uninfected","Control","-37.43201134",280
76,"500_2018_02","02/06/2018","500_2018",2018,3418500,0,0,605,NA,NA,23,2,1,NA,NA,"Control",0.05910913,7,-2.304919984,23.97271315,-100,"Uninfected","Control","-57.58996718",400
76,"502_2018_02","02/06/2018","502_2018",2018,3418502,0,0,475,13,NA,32,2,0,NA,NA,"Control",0.04362595,7,-130.6637338,19.05573556,-100,"Uninfected","Control","-17.64584655",350
78,"504_2018_03","03/06/2018","504_2018",2018,3418504,0,0,590,NA,NA,18,2,1,NA,NA,"Control",0.063790889,14,53.8684913,20.0042124,-100,"Uninfected","Control","-13.62400757",305
82,"513_2018_02","02/06/2018","513_2018",2018,3418513,0,0,695,NA,NA,33,2,1,NA,NA,"Control",0.043607516,6,63.0592196,25.75676563,-100,"Uninfected","Control","0.871423708",535
82,"515_2018_02","02/06/2018","515_2018",2018,3418515,0,0,540,NA,NA,32,2,0,NA,NA,"Control",0.118639886,6,-79.85698087,19.63360523,-100,"Uninfected","Control","-111.030841",265
