"";"Nest";"Date";"Year";"Ring.no";"Lprev";"Lbinom";"Weight";"Wing";"sampling_rank";"Treatments";"growth_rate";"days_resample";"sex";"body_condition";"delta_body_condition";"Age_in_days";"avg_age"
"2";"1374";23/05/20;"2020";"3121001";"1";"1";890;18,6;2;"Malarone";0,0602503307811747;6;"Female";171,655735355154;144,982059920736;24,5799011545379;21,5736896270093
"4";"1374";23/05/20;"2020";"3121002";"4";"1";770;18,5;2;"Water";0,0530756218530891;6;"Male";143,650478784713;121,769688319505;25,3242160396891;22,7125112236996
"6";"1914";23/05/20;"2020";"3121003";"1";"1";650;16,9;2;"Malarone";0,0437273774112485;6;"Male";47,2942848962573;40,1234893072339;23,6710475320114;20,8341087234797
"8";"1914";23/05/20;"2020";"3121004";"1";"0";780;19,4;2;"Water";0,0329709572216533;6;"Female";48,4089944088832;39,6232959599672;25,4582706811284;22,7847442401244
"10";"1914";23/05/20;"2020";"3121005";"1";"1";820;19;2;"Control";0,0520624475070254;6;"Female";94,9626400416466;112,498107704636;25,0146104241791;22,2761770787348
"12";"1156";29/05/20;"2020";"3121006";"0";"0";670;16,7;2;"Malarone";0,0506492882401296;7;"Female";-14,4491353720148;15,8562483790701;22,6200869235876;18,8696126586165
"14";"1156";29/05/20;"2020";"3121007";"3";"1";620;15,2;2;"Water";0,0796573840805316;7;"Female";-34,8445184208524;70,8635204804744;21,1606037948556;17,4375950666
"16";"2165B";29/05/20;"2020";"3121008";"2";"1";695;16,4;2;"Control";0,0499294934943028;7;"Female";16,2530802049123;36,545449180048;22,3235898926707;18,9005808605483
"18";"2165B";29/05/20;"2020";"3121009";"0";"0";710;15,4;2;"Control";0,0620054972217458;7;"Female";51,0434803825258;77,5196652272675;21,3524698632188;17,989084029998
"20";"2165B";29/05/20;"2020";"3121010";"0";"0";580;13,7;2;"Control";0,062300296795722;7;"Female";-42,1614865072377;-1,76299220029358;19,7293298063472;15,9345774273031
"22";"2364C";29/05/20;"2020";"3121011";"0";"0";665;18,9;2;"Malarone";0,0407398488905232;7;"Male";33,0592195951881;50,5865729667728;25,7567656319634;22,4394574070028
"24";"2364C";29/05/20;"2020";"3121012";"0";"0";595;15,7;2;"Water";0,0367621308660699;7;"Female";-70,0254592232523;-26,3557266942252;21,6414955011193;18,4405882817605
"26";"2364C";29/05/20;"2020";"3121013";"2";"1";300;11,2;2;"Control";0,0204429776629533;7;"Male";-195,173447929113;-90,4270096937822;18,1022541036704;15,3147783466274
"28";"2.26E+04";30/05/20;"2020";"3121014";"0";"0";830;18,5;2;"Malarone";0,0587867746520181;7;"Female";113,351500174491;138,549802839083;24,4725635095102;21,1706169005834
"30";"2.26E+04";30/05/20;"2020";"3121015";"0";"0";800;17,3;2;"Control";0,0588192458745371;7;"Male";191,179821278022;165,525487514704;24,0740352048888;21,2952771489272
"32";"1427";31/05/20;"2020";"3121018";"0";"0";850;26,3;2;"Water";0,00866066025949069;7;"Male";131,696970820862;-15,1216214380108;35,6329042216818;31,6063198143775
"34";"1427";31/05/20;"2020";"3121019";"0";"0";870;26,6;2;"Malarone";0,00845555305576152;7;"Male";148,73231068053;-2,01522432155389;36,1101823152252;32,6462007040051
"36";"2347C";04/06/20;"2020";"3121027";"4";"1";395;16,6;2;"Water";-0,0324833898334691;6;"Male";-203,024132038682;-163,363041101865;23,3725906463502;21,2970583470284
"38";"2347C";04/06/20;"2020";"3121028";"3";"1";710;19,1;2;"Malarone";0,033706144415816;6;"Female";-16,6886163075508;25,4728701996869;25,1246674281399;22,4269986172435
"40";"1817";13/06/20;"2020";"3121040";"3";"1";790;21,8;2;"Water";0,0419009017893283;8;"Male";120,747535002084;129,016770055573;29,1822190927849;25,5493717039227
"42";"1817";13/06/20;"2020";"3121041";"2";"1";900;24,4;2;"Malarone";0,0270278885587045;8;"Female";96,2763916649096;55,7255270369244;31,8888910898537;27,2544890067206
"44";"1817";13/06/20;"2020";"3121042";"2";"1";870;24,4;2;"Control";0,0254035302016585;8;"Female";66,2763916649096;50,0053625914486;31,8888910898537;27,5049758536006
"46";"681";13/06/20;"2020";"3121045";"0";"0";880;22,9;2;"Water";0,0326916532041211;7;"Female";96,2342643546974;78,7941231034536;29,7778850277676;26,1494115719695
"48";"342";29/05/20;"2020";"3121051";"1";"1";750;19,3;2;"Water";0,0501841821306536;6;"Male";112,585063490627;99,6348944671838;26,1981428675101;23,2457612140173
"50";"342";29/05/20;"2020";"3121052";"0";"0";810;19,2;2;"Control";0,0675775180180274;6;"Female";81,668750131103;142,455430977943;25,2352916267815;22,0483051755801
"52";"342";29/05/20;"2020";"3121053";"0";"0";830;20,5;2;"Malarone";0,0554773825408356;6;"Female";81,0602386674111;123,897176664604;26,7280828768945;23,5625729677596
"54";"585";29/05/20;"2020";"3121054";"0";"0";870;22,7;2;"Malarone";0,0350492348060601;6;"Female";88,9936119798178;79,5461451854082;29,5083886887176;26,3653856817138
"56";"585";29/05/20;"2020";"3121055";"1";"1";800;20,3;2;"Water";0,0479470120752968;6;"Female";54,1442203516799;108,988738772532;26,4915453281237;23,8260745614897
"58";"585";29/05/20;"2020";"3121056";"1";"1";520;17,5;2;"Control";0,0316739338146441;6;"Male";-91,8245957108493;12,3039805806932;24,2778961262756;22,0926421072313
"60";"778E";29/05/20;"2020";"3121057";"2";"1";770;20,1;2;"Water";0,0182831528760708;6;"Male";121,969131328873;-1,77900542394832;27,1092284049524;24,3219044962275
"62";"778E";29/05/20;"2020";"3121058";"2";"1";840;17,2;2;"Malarone";0,0831651943531646;6;"Female";146,271029073461;197,849732124154;23,1210606173476;20,2380582543007
"64";"2239A";30/05/20;"2020";"3121061";"1";"1";680;18,4;2;"Malarone";0,0589778879151124;7;"Male";55,0671836090949;120,44323759193;25,2173975723408;22,119879563132
"66";"2239A";30/05/20;"2020";"3121062";"0";"0";770;16,1;2;"Water";0,0588542555899083;7;"Female";97,0605733801917;103,839019818529;22,0297519428793;18,8705647923559
